"Gm26825"
"RP23-392C8.4"
"AC092404.2"
"Napb"
"Ppp1r9b"
"Sqstm1"
"Txndc5"
"Rps7"
"Gm10600"
"Ppm1g"
"RP24-80P9.3"
"Gm26718"
"Tmcc2"
"Uhmk1"
"Dgkk"
"Mup1"
"RP23-49L8.5"
"Syp"
"Rfx4"
"RP23-220D12.12"
"Pink1"
"Dpysl5"
"Dnajc5"
"Grb10"
"RP23-422H14.1"
"Pitpnm2"
"Ankrd13a"
"Rn7sk"
"RP23-152O2.3"
"Sgsm2"
"Gstm6"
"Pitpnm1"
"RP24-230J14.3"
"Cdv3"
"Gp1bb"
"RP23-81C12.1"
"Gdf1"
"RP23-388P16.8"
"RP24-289M23.1"
"Abhd12"
"Shisa8"
"Stk11"
"Itgbl1"
"Rec8"
"AC123679.2"
"RP24-247B20.1"
"Vash1"
"Entpd4"
"Plxnb2"
"C1qtnf4"
"Slbp"
"RP23-344H4.8"
"RP24-346O11.2"
"Zbtb14"
"Gm26809"
"Zdhhc9"
"Brd2"
"RP24-555M20.2"
"Jph4"
"Dalrd3"
"Etv5"
"RP23-168E14.4"
"Adipor2"
"Ube3b"
"Large"
"Ranbp3l"
"Odc1"
"Ldhb"
"Fscn1"
"Ahcyl1"
"Gaa"
"Dcaf8"
"Rrbp1"
"Chpf"
"Npas3"
"Ptp4a2"
"RP24-424K5.5"
"Pcolce"
"Amd2"
"Jup"
"Amn"
"Pnoc"
"Calu"
"Ndufv1"
"RP24-230P10.6"
"Nynrin"
"Ergic3"
"Dtx1"
"Gm26527"
"Gnao1"
"Prrc2a"
"Smox"
"Itga3"
"Kcnt1"
"Gstm1"
"Zfp68"
"Ppfia3"
"Mup7"
"Sptbn1"
"Man1c1"
"Cpxm1"
"Cluh"
"Txnip"
"Vgll4"
"RP23-349I9.6"
"RP23-354L15.1"
"Ndst1"
"Camk2n1"
"Xkr7"
"Akt2"
"Per1"
"Dgkd"
"RP23-388P16.2"
"Polr3h"
"RP23-33N12.2"
"Mfge8"
"Sharpin"
"Sez6l2"
"Podxl2"
"Taok3"
"Lamp5"
"Gucy2c"
"Caly"
"Eln"
"Sel1l"
"Lig1"
"Kcnab2"
"RP23-83G6.1"
"Ckmt1"
"Srcap"
"Cldn5"
"Wdr75"
"Pcdhgc4"
"Pabpc1"
"RP23-4F16.12"
"RP23-89A16.3"
"RP23-8I8.4"
"Mgat4b"
"Dgkh"
"Ly6e"
"Tsc2"
"Adcy9"
"Adam11"
"Hoxa10"
"Cdc7"
"Cspg5"
"Slc25a18"
"Prkcb"
"RP23-349I9.7"
"RP23-430C21.4"
"Bcl2l1"
"Adi1"
"Ckb"
"Podn"
"Parp6"
"Mrgprx1"
"Cmip"
"Mknk2"
"Hmbox1"
"Ptpn1"
"RP23-472G22.1"
"Lamc1"
"Adamts15"
"Pcdhga11"
"App"
"Ptprn2"
"Ndufs2"
"Nup214"
"Vwf"
"Mcam"
"Elmo2"
"Coro1c"
"Hmgxb3"
"Rpl28"
"Plekha2"
"Rgl2"
"Dynlt1b"
"Arsi"
"AC104325.1"
"Sparc"
"Ppp2r1a"
"Hepacam"
"Ociad1"
"RP24-458F14.4"
"Gabarap"
"Nop56"
"Mmp25"
"Eif2b5"
"RP23-45K23.3"
"Igfbp7"
"Lama4"
"Mdh2"
"RP24-427A22.3"
"Fam19a3"
"Rusc1"
"H2afj"
"Xpo6"
"Stfa1"
"Sec31a"
"AC163442.1"
"Nr1d1"
"Zfyve27"
"Sars"
"Cbln1"
"Mroh1"
"Ramp1"
"Thsd4"
"Tgfbr2"
"Hpcal1"
"Tle2"
"Gm21887"
"Fam160a2"
"Kcnf1"
"Fbxl5"
"Cttn"
"Fam131c"
"RP23-304I1.7"
"Hoxa9"
"Clip3"
"Nek1"
"Vsnl1"
"Gabra2"
"Rcbtb1"
"RP23-95H5.1"
"RP23-68H24.4"
"Zfp512b"
"Ank1"
"Tmem184b"
"Celsr3"
"Nptx1"
"Fnbp1"
"Ptch2"
"Sf3b1"
"Asic2"
"Tom1l2"
"Ap3b2"
"Osbpl10"
"Miat"
"Dennd5a"
"Adam19"
"Col15a1"
"Akt3"
"Abcb8"
"Lrp5"
"St8sia4"
"Glg1"
"Ephb6"
"Irx1"
"RP23-92G13.7"
"Lrp1"
"Shd"
"Gramd1a"
"Pglyrp1"
"Galnt9"
"Rgs14"
"Adam15"
"Arfgef2"
"Cacng4"
"Timp4"
"Sox1"
"Tmem267"
"Jag2"
"RP24-177N8.3"
"RP23-81C12.3"
"Eno2"
"Lpar1"
"Tmem240"
"Kcnq2"
"Pcsk1n"
"Slco1c1"
"Ralgds"
"Malat1"
"Cacna1h"
"Lhx1os"
"Rpgr"
"Tns1"
"Mst1r"
"Cul7"
"AC103620.3"
"Hnrnpm"
"Adgrb1"
"Gm26649"
"Nacad"
"Adck4"
"Stard3nl"
"Foxc2"
"Lztr1"
"Dnase2a"
"Cd200"
"Nova1"
"Gak"
"Rims3"
"RP23-107N10.4"
"Mef2d"
"Nxph4"
"Gfap"
"Rbm19"
"Gnb2"
"Add2"
"Cst3"
"Gramd4"
"Antxr1"
"Igsf21"
"Gm26858"
"Ipo4"
"Egfl7"
"Dusp26"
"Cnih2"
"Gpc3"
"Ddx39b"
"Ccdc142"
"Ehbp1"
"Shc1"
"Bcl11a"
"Ep400"
"Selm"
"Fam189b"
"RP23-131F7.5"
"RP23-119P9.3"
"Wscd1"
"Syt7"
"Pdxdc1"
"Tma7"
"Pcdhgc3"
"Ivns1abp"
"Peg3"
"Vwa5a"
"Dpp4"
"Epb41l3"
"Thra"
"Bid"
"Abr"
"Zfp532"
"Mvd"
"Ankrd52"
"Slc12a7"
"Eif4a3"
"Nutf2-ps1"
"Col5a3"
"RP23-320D23.6"
"Ahi1"
"Mcrs1"
"Clptm1l"
"Inpp5j"
"Pcdhgb6"
"Bfar"
"Pkm"
"Hoxb6"
"Csrp2bp"
"Vangl1"
"RP23-57A17.2"
"Camsap3"
"Kcnd2"
"Nr2c2"
"Unc13a"
"Mapk14"
"Isl2"
"Bcl2l2"
"Zfp526"
"A3galt2"
"Ctnnb1"
"Rnf208"
"Mup19"
"Piezo1"
"Camp"
"Ints1"
"Cox6c"
"Hif1an"
"AC163329.3"
"Magt1"
"Nxph1"
"Sparcl1"
"Rap1gap2"
"Avil"
"Rnf144a"
"RP23-442M3.3"
"Sympk"
"Med15"
"Rab22a"
"Ubac1"
"Rtn4ip1"
"Hopx"
"Msmo1"
