"Zfp518b"
"Rassf5"
"Kpna2"
"Alb"
"Srp68"
"RP23-103O7.2"
"Mup7"
"RP24-346O11.2"
"Mup19"
"Ndufv1"
"Cebpa"
"RP24-378G4.3"
"Pitpnm2"
"Lig3"
"Sorl1"
"RP23-214L4.1"
"Agpat1"
"Washc2"
"Dusp26"
"Atp6v0a1"
"Gabarap"
"Atg9a"
"Ptprf"
"Klhl25"
"Cyfip1"
"Fxyd6"
"Serpina3k"
"Prkar1b"
"Slc30a3"
"Tfrc"
"Mup11"
"Pcdhgc3"
"Rnf26"
"Adam8"
"Mink1"
"RP23-17K9.20"
"Vrk2"
"Gm26649"
"Fchsd1"
"Smtn"
"Gas2l1"
"Isl2"
"Mllt6"
"Dpysl5"
"Ndst1"
"Rab3b"
"Emid1"
"Mroh1"
"Fam134a"
"S100pbp"
"Nudt3"
"Psmc3ip"
"Rprd1b"
"U2af1l4"
"Gstm1"
"Sh3yl1"
"RP23-354J5.3"
"Htr3a"
"Ccl25"
"Ankrd13b"
"Gm26776"
"Vash1"
"Ckmt1"
"Ech1"
"Qdpr"
"Hoxd10"
"Mief1"
"Chil3"
"Srcap"
"Acbd5"
"Scgb1a1"
"mt-Rnr1"
"Serpina1c"
"Stoml2"
"Stk3"
"Hsph1"
"Sst"
"Pink1"
"RP24-329C11.12"
"Acaa1a"
"Bcl2l14"
"Vamp4"
"Cmip"
"RP23-147I23.2"
"Adi1"
"Clptm1"
"Hoxd9"
"Dnajc5"
"Stk11"
"Ei24"
"Noct"
"Rtn2"
"Dnase2a"
"Leng8"
"Mapk3"
"Mup20"
"Copz2"
"RP23-168E14.7"
"Sc5d"
"Ahsg"
"Csnk2b"
"Acpp"
"Wnt2b"
"Cdk9"
"Usp20"
"Tubgcp4"
"Abhd12"
"Thy1"
"Fgb"
"Kcnt1"
"Fam53c"
"Cluh"
"AC119884.2"
"Tcn2"
"Plcb3"
"Mup15"
"Plp1"
"Bcat2"
