GeneID,BaseMean,log2(FC),StdErr,WaldStats,Pval,AdjP
Lrsam1,3302.627679,-0.94087335,0.092099493,-10.21583633,1.68E-24,5.02E-23
Cdk15,232.3838357,-2.157263716,0.211504806,-10.19959665,1.99E-24,5.93E-23
AI504432,38.92231532,3.34465116,0.327968278,10.19809349,2.02E-24,6.01E-23
Mal,36.15078024,4.061100299,0.398463345,10.19190434,2.16E-24,6.39E-23
Tmem106a,162.2202534,-1.477142535,0.145084759,-10.18123849,2.40E-24,7.12E-23
Efcab6,65.36839599,3.424598054,0.33645106,10.17859195,2.47E-24,7.30E-23
Kcnj12,1254.533458,-1.034087241,0.101618758,-10.17614526,2.53E-24,7.48E-23
Adamtsl5,67.44878577,3.587535344,0.35261311,10.17414055,2.59E-24,7.61E-23
Dzip1l,103.1979792,1.88043539,0.184824734,10.17415445,2.59E-24,7.61E-23
Emilin1,59.40659043,4.016247877,0.394845008,10.17170738,2.65E-24,7.79E-23
Morrbid,46.11331367,3.810387088,0.374951841,10.16233733,2.92E-24,8.56E-23
Dusp4,128.8092273,2.405010698,0.237140399,10.1417165,3.61E-24,1.06E-22
Tnfrsf12a,378.2990548,1.953996891,0.19271223,10.1394545,3.69E-24,1.08E-22
Crlf1,76.11506041,4.470549373,0.440940804,10.1386611,3.72E-24,1.09E-22
Rnf149,714.0505749,-1.103128853,0.109003981,-10.12007857,4.50E-24,1.31E-22
Igsf11,42.49684969,3.058012366,0.302692098,10.10271622,5.37E-24,1.56E-22
Map3k20,850.5908487,1.273299541,0.126043925,10.10203026,5.41E-24,1.57E-22
Anxa5,30582.74634,-0.967409868,0.09582608,-10.09547577,5.78E-24,1.68E-22
Abca7,1530.111628,-1.467416274,0.14536766,-10.09451671,5.84E-24,1.69E-22
Akr1c14,107.2101571,6.114334299,0.60583727,10.09237067,5.97E-24,1.72E-22
Atxn7l3b,6859.042791,-0.704771244,0.069855274,-10.08901989,6.18E-24,1.78E-22
Inpp5k,869.8270498,-1.120268544,0.111039722,-10.08889906,6.19E-24,1.78E-22
Cavin1,549.7173373,4.579437673,0.453977847,10.08735933,6.28E-24,1.80E-22
Fbln1,34.52534747,4.125972769,0.409029904,10.08721545,6.29E-24,1.80E-22
Baiap2,994.6541293,1.12445095,0.111563911,10.0789847,6.84E-24,1.96E-22
Osgin1,27.62499061,4.979796493,0.494209889,10.07627853,7.03E-24,2.01E-22
Prkcq,34.09779628,5.285991262,0.524718157,10.07396292,7.20E-24,2.06E-22
Crtap,310.8828338,1.839390246,0.182730321,10.06614686,7.80E-24,2.22E-22
Fign,40.42541757,2.689681227,0.267236047,10.06481446,7.90E-24,2.25E-22
Arap2,983.9502204,0.896221439,0.089058277,10.06331441,8.03E-24,2.28E-22
Nrgn,223.7010319,5.406040855,0.537237887,10.06265751,8.08E-24,2.29E-22
