GeneID,BaseMean,log2(FC),StdErr,WaldStats,Pval,AdjP
Ppp2r2b,908.9190593,0.69888807,0.14057126,4.971770696,6.63E-07,2.76E-05
2810047C21Rik1,62.83694236,-1.205745439,0.242660211,-4.968863389,6.73E-07,2.79E-05
Nwd2,2984.120292,0.870877201,0.175456736,4.963486838,6.92E-07,2.86E-05
Tgfa,355.637768,0.694856547,0.140036373,4.96197188,6.98E-07,2.88E-05
Igfbpl1,400.6686333,-1.401307686,0.282442139,-4.961397375,7.00E-07,2.88E-05
Cdkl2,663.1082192,0.991431676,0.200072564,4.955360486,7.22E-07,2.96E-05
Bbs10,71.11283134,-0.986616743,0.199216582,-4.952483049,7.33E-07,3.00E-05
A730035I17Rik,72.89067257,0.958712928,0.193649258,4.950769966,7.39E-07,3.02E-05
Cap2,149.3629483,0.797231352,0.161165261,4.946669945,7.55E-07,3.07E-05
Vwa2,190.972634,-1.026461412,0.207507231,-4.946629597,7.55E-07,3.07E-05
Fbxl2,1251.684602,0.570746186,0.115433901,4.944355023,7.64E-07,3.10E-05
Capn1,1477.452678,0.56385781,0.114092326,4.942118635,7.73E-07,3.12E-05
Pcsk1,146.9054869,0.987410635,0.200090119,4.934829567,8.02E-07,3.24E-05
Hpcal1,1987.239302,0.535411909,0.108538938,4.932901671,8.10E-07,3.26E-05
Pitpnm3,133.0553067,0.896208656,0.181716034,4.931918429,8.14E-07,3.27E-05
Plekha4,1311.429746,0.642006987,0.130227835,4.929875304,8.23E-07,3.28E-05
Sap30l,1305.730852,0.479447699,0.097251329,4.92998609,8.22E-07,3.28E-05
Zfp866,1137.358143,-0.513574235,0.104175359,-4.929901271,8.23E-07,3.28E-05
Ldlrad3,2432.471158,0.364733467,0.07411328,4.921297047,8.60E-07,3.42E-05
Fbxo2,269.0121271,0.927168287,0.188425281,4.92061512,8.63E-07,3.42E-05
Csmd1,738.3299029,0.881983428,0.179306515,4.918858787,8.71E-07,3.44E-05
Dscaml1,273.3203742,-1.237517693,0.251600373,-4.918584501,8.72E-07,3.44E-05
Fignl1,230.410687,-1.018606915,0.207116216,-4.918045208,8.74E-07,3.44E-05
Lmnb1,4276.425256,-0.435564602,0.088586629,-4.916821029,8.80E-07,3.45E-05
Tafa1,100.7517227,1.029292259,0.209328966,4.917103825,8.78E-07,3.45E-05
Nkain2,597.0011216,0.75785649,0.154235016,4.913647431,8.94E-07,3.49E-05
Tox2,301.4521161,0.756363281,0.153934364,4.91354408,8.94E-07,3.49E-05
Rbfox1,2201.071052,0.945924631,0.192845326,4.905094936,9.34E-07,3.63E-05
Zfp217,458.3753721,-0.657790314,0.134417159,-4.893648401,9.90E-07,3.84E-05
Cdh13,527.106154,0.803464673,0.164296476,4.890334169,1.01E-06,3.90E-05
Fabp7,10928.34698,-0.724271667,0.148158183,-4.888502644,1.02E-06,3.92E-05
A830018L16Rik,300.8526988,1.038925775,0.21281876,4.881739644,1.05E-06,4.05E-05
Npr2,4554.601484,-0.828297201,0.170186707,-4.866991169,1.13E-06,4.36E-05
